base,text
X,ten
E,eleven
10,a dozen
11,do-one
12,do-two
13,do-three
14,do-four
15,do-five
16,do-six
17,do-seven
18,do-eight
19,do-nine
1X,do-deca
1E,do-el
20,two dozen
30,three dozen
40,four dozen
50,five dozen
60,six dozen
70,seven dozen
80,eight dozen
90,nine dozen
X0,ten dozen
E0,eleven dozen
100,two dozen
110,one gross and a dozen
120,one gross and two dozen
130,one gross and three dozen
140,one gross and four dozen
150,one gross and five dozen
160,one gross and six dozen
170,one gross and seven dozen
180,one gross and eight dozen
190,one gross and nine dozen
1X0,one gross and ten dozen
1E0,one gross and eleven dozen
200,two dozen
